species,class
Rhinella atacamensis,Amphibians
Rhinella beebei,Amphibians
Rhinella bergi,Amphibians
Rhinella boulengeri,Amphibians
Rhinella castaneotica,Amphibians
Rhinella ceratophrys,Amphibians
Rhinella cerradensis,Amphibians
Rhinella chavin,Amphibians
Rhinella chrysophora,Amphibians
Rhinella cristinae,Amphibians
Rhinella crucifer,Amphibians
Rhinella dapsilis,Amphibians
Rhinella diptycha,Amphibians
Rhinella dorbignyi,Amphibians
Rhinella fernandezae,Amphibians
Rhinella festae,Amphibians
Rhinella fissipes,Amphibians
Rhinella gallardoi,Amphibians
Rhinella gnustae,Amphibians
Rhinella granulosa,Amphibians
Rhinella henseli,Amphibians
Rhinella hoogmoedi,Amphibians
Rhinella icterica,Amphibians
Rhinella inca,Amphibians
Rhinella iserni,Amphibians
Rhinella jimi,Amphibians
Rhinella justinianoi,Amphibians
Rhinella lescurei,Amphibians
Rhinella limensis,Amphibians
Rhinella lindae,Amphibians
Rhinella macrorhina,Amphibians
Rhinella magnussoni,Amphibians
Rhinella manu,Amphibians
Rhinella margaritifera,Amphibians
Rhinella marina,Amphibians
Rhinella martyi,Amphibians
Rhinella multiverrucosa,Amphibians
Rhinella nesiotes,Amphibians
Rhinella nicefori,Amphibians
Rhinella ocellata,Amphibians
Rhinella ornata,Amphibians
Rhinella poeppigii,Amphibians
Rhinella pombali,Amphibians
Rhinella proboscidea,Amphibians
Rhinella pygmaea,Amphibians
Rhinella quechua,Amphibians
Rhinella roqueana,Amphibians
Rhinella rostrata,Amphibians
Rhinella rubescens,Amphibians
Rhinella rubropunctata,Amphibians
Rhinella ruizi,Amphibians
Rhinella rumbolli,Amphibians
Rhinella schneideri,Amphibians
Rhinella scitula,Amphibians
Rhinella sclerocephala,Amphibians
Rhinella spinulosa,Amphibians
Rhinella stanlaii,Amphibians
Rhinella sternosignata,Amphibians
Rhinella tacana,Amphibians
Rhinella tenrec,Amphibians
Rhinella vellardi,Amphibians
Rhinella veraguensis,Amphibians
Rhinella veredas,Amphibians
Rhinella yanachaga,Amphibians
Rhinoderma darwinii,Amphibians
Rhinoderma rufum,Amphibians
Rhinophrynus dorsalis,Amphibians
Rhombophryne alluaudi,Amphibians
Rhombophryne coronata,Amphibians
Rhombophryne coudreaui,Amphibians
Rhombophryne guentherpetersi,Amphibians
Rhombophryne laevipes,Amphibians
Rhombophryne minuta,Amphibians
Rhombophryne serratopalpebrosa,Amphibians
Rhombophryne testudo,Amphibians
Rhyacotriton cascadae,Amphibians
Rhyacotriton kezeri,Amphibians
Rhyacotriton olympicus,Amphibians
Rhyacotriton variegatus,Amphibians
Rulyrana adiazeta,Amphibians
Rulyrana erminea,Amphibians
Rulyrana flavopunctata,Amphibians
Rulyrana mcdiarmidi,Amphibians
Rulyrana saxiscandens,Amphibians
Rulyrana spiculata,Amphibians
Rulyrana susatamai,Amphibians
Rulyrana tangarana,Amphibians
Rupirana cardosoi,Amphibians
Sachatamia albomaculata,Amphibians
Sachatamia ilex,Amphibians
Sachatamia punctulata,Amphibians
Salamandra algira,Amphibians
Salamandra atra,Amphibians
Salamandra corsica,Amphibians
Salamandra infraimmaculata,Amphibians
Salamandra lanzai,Amphibians
Salamandra salamandra,Amphibians
Salamandrella keyserlingii,Amphibians
Salamandrina perspicillata,Amphibians
Salamandrina terdigitata,Amphibians
Sanguirana sanguinea,Amphibians
Scaphiophryne boribory,Amphibians
Scaphiophryne brevis,Amphibians
Scaphiophryne calcarata,Amphibians
Scaphiophryne gottlebei,Amphibians
Scaphiophryne madagascariensis,Amphibians
Scaphiophryne marmorata,Amphibians
Scaphiophryne menabensis,Amphibians
Scaphiophryne spinosa,Amphibians
Scaphiophryne verrucosa,Amphibians
Scaphiopus couchii,Amphibians
Scaphiopus holbrookii,Amphibians
Scaphiopus hurterii,Amphibians
Scarthyla goinorum,Amphibians
Scarthyla vigilans,Amphibians
Schismaderma carens,Amphibians
Schistometopum gregorii,Amphibians
Schistometopum thomense,Amphibians
Scinax acuminatus,Amphibians
Scinax agilis,Amphibians
Scinax albicans,Amphibians
Scinax alcatraz,Amphibians
Scinax altae,Amphibians
Scinax alter,Amphibians
Scinax angrensis,Amphibians
Scinax arduous,Amphibians
Scinax argyreornatus,Amphibians
Scinax ariadne,Amphibians
Scinax aromothyella,Amphibians
Scinax atratus,Amphibians
Scinax auratus,Amphibians
Scinax baumgardneri,Amphibians
Scinax belloni,Amphibians
Scinax berthae,Amphibians
Scinax blairi,Amphibians
Scinax boesemani,Amphibians
Scinax boulengeri,Amphibians
Scinax brieni,Amphibians
Scinax cabralensis,Amphibians
Scinax caldarum,Amphibians
Scinax camposseabrai,Amphibians
Scinax canastrensis,Amphibians
Scinax cardosoi,Amphibians
Scinax carnevallii,Amphibians
Scinax castroviejoi,Amphibians
Scinax catharinae,Amphibians
Scinax centralis,Amphibians
Scinax chiquitanus,Amphibians
Scinax constrictus,Amphibians
Scinax crospedospilus,Amphibians
Scinax cruentommus,Amphibians
Scinax curicica,Amphibians
Scinax cuspidatus,Amphibians
Scinax danae,Amphibians
Scinax duartei,Amphibians
Scinax elaeochrous,Amphibians
Scinax eurydice,Amphibians
Scinax exiguus,Amphibians
Scinax faivovichi,Amphibians
Scinax flavidus,Amphibians
Scinax flavoguttatus,Amphibians
Scinax funereus,Amphibians
Scinax fuscomarginatus,Amphibians
Scinax fuscovarius,Amphibians
Scinax garbei,Amphibians
Scinax granulatus,Amphibians
Scinax hayii,Amphibians
Scinax heyeri,Amphibians
Scinax hiemalis,Amphibians
Scinax humilis,Amphibians
Scinax ictericus,Amphibians
Scinax iquitorum,Amphibians
Scinax jolyi,Amphibians
Scinax jureia,Amphibians
Scinax karenanneae,Amphibians
Scinax kautskyi,Amphibians
Scinax kennedyi,Amphibians
Scinax lindsayi,Amphibians
Scinax littoralis,Amphibians
Scinax littoreus,Amphibians
Scinax longilineus,Amphibians
Scinax luizotavioi,Amphibians
Scinax machadoi,Amphibians
Scinax maracaya,Amphibians
Scinax melloi,Amphibians
Scinax nasicus,Amphibians
Scinax nebulosus,Amphibians
Scinax obtriangulatus,Amphibians
Scinax oreites,Amphibians
Scinax pachycrus,Amphibians
Scinax parkeri,Amphibians
Scinax pedromedinae,Amphibians
Scinax peixotoi,Amphibians
Scinax perereca,Amphibians
Scinax perpusillus,Amphibians
Scinax pinima,Amphibians
Scinax proboscideus,Amphibians
Scinax quinquefasciatus,Amphibians
Scinax ranki,Amphibians
Scinax rizibilis,Amphibians
Scinax rostratus,Amphibians
Scinax ruber,Amphibians
Scinax similis,Amphibians
Scinax squalirostris,Amphibians
Scinax staufferi,Amphibians
Scinax sugillatus,Amphibians
Scinax tigrinus,Amphibians
Scinax trapicheiroi,Amphibians
Scinax trilineatus,Amphibians
Scinax uruguayus,Amphibians
Scinax v-signatus,Amphibians
Scinax wandae,Amphibians
Scinax x-signatus,Amphibians
Scolecomorphus kirkii,Amphibians
Scolecomorphus uluguruensis,Amphibians
Scolecomorphus vittatus,Amphibians
Scotobleps gabonicus,Amphibians
Scutiger adungensis,Amphibians
Scutiger boulengeri,Amphibians
Scutiger brevipes,Amphibians
Scutiger chintingensis,Amphibians
Scutiger glandulatus,Amphibians
Scutiger gongshanensis,Amphibians
Scutiger jiulongensis,Amphibians
Scutiger liupanensis,Amphibians
Scutiger maculatus,Amphibians
Scutiger mammatus,Amphibians
Scutiger muliensis,Amphibians
Scutiger nepalensis,Amphibians
Scutiger ningshanensis,Amphibians
Scutiger nyingchiensis,Amphibians
Scutiger pingwuensis,Amphibians
Scutiger ruginosus,Amphibians
Scutiger sikimmensis,Amphibians
Scutiger tuberculatus,Amphibians
Scythrophrys sawayae,Amphibians
Sechellophryne gardineri,Amphibians
Sechellophryne pipilodryas,Amphibians
Semnodactylus wealii,Amphibians
Silverstoneia erasmios,Amphibians
Silverstoneia flotator,Amphibians
Silverstoneia nubicola,Amphibians
Siphonops annulatus,Amphibians
Siphonops hardyi,Amphibians
Siphonops insulanus,Amphibians
Siphonops paulensis,Amphibians
Siren intermedia,Amphibians
Siren lacertina,Amphibians
Smilisca baudinii,Amphibians
Smilisca cyanosticta,Amphibians
Smilisca dentata,Amphibians
Smilisca fodiens,Amphibians
Smilisca phaeota,Amphibians
Smilisca puma,Amphibians
Smilisca sila,Amphibians
Smilisca sordida,Amphibians
Sooglossus sechellensis,Amphibians
Sooglossus thomasseti,Amphibians
Spea bombifrons,Amphibians
Spea hammondii,Amphibians
Spea intermontana,Amphibians
Spea multiplicata,Amphibians
Spelaeophryne methneri,Amphibians
Speleomantes ambrosii,Amphibians
Speleomantes flavus,Amphibians
Speleomantes imperialis,Amphibians
Speleomantes italicus,Amphibians
Speleomantes sarrabusensis,Amphibians
Speleomantes strinatii,Amphibians
Speleomantes supramontis,Amphibians
Sphaenorhynchus bromelicola,Amphibians
Sphaenorhynchus caramaschii,Amphibians
Sphaenorhynchus carneus,Amphibians
Sphaenorhynchus dorisae,Amphibians
Sphaenorhynchus lacteus,Amphibians
Sphaenorhynchus mirim,Amphibians
Sphaenorhynchus orophilus,Amphibians
Sphaenorhynchus palustris,Amphibians
Sphaenorhynchus pauloalvini,Amphibians
Sphaenorhynchus planicola,Amphibians
Sphaenorhynchus prasinus,Amphibians
Sphaenorhynchus surdus,Amphibians
Sphaerotheca breviceps,Amphibians
Sphaerotheca dobsonii,Amphibians
Sphaerotheca leucorhynchus,Amphibians
Sphaerotheca maskeyi,Amphibians
Sphaerotheca rolandae,Amphibians
Sphaerotheca swani,Amphibians
Sphenophryne cornuta,Amphibians
Spicospina flammocaerulea,Amphibians
Spinomantis aglavei,Amphibians
Spinomantis bertini,Amphibians
Spinomantis brunae,Amphibians
Spinomantis elegans,Amphibians
Spinomantis fimbriatus,Amphibians
Spinomantis guibei,Amphibians
Spinomantis massi,Amphibians
Spinomantis microtis,Amphibians
Spinomantis peraccae,Amphibians
Spinomantis phantasticus,Amphibians
Staurois latopalmatus,Amphibians
Staurois natator,Amphibians
Staurois parvus,Amphibians
Staurois tuberilinguis,Amphibians
Stefania ackawaio,Amphibians
Stefania ayangannae,Amphibians
Stefania breweri,Amphibians
Stefania coxi,Amphibians
Stefania evansi,Amphibians
Stefania ginesi,Amphibians
Stefania goini,Amphibians
Stefania marahuaquensis,Amphibians
Stefania oculosa,Amphibians
Stefania percristata,Amphibians
Stefania riae,Amphibians
Stefania riveroi,Amphibians
Stefania roraimae,Amphibians
Stefania satelles,Amphibians
Stefania scalae,Amphibians
Stefania schuberti,Amphibians
Stefania tamacuarina,Amphibians
Stefania woodleyi,Amphibians
Stereochilus marginatus,Amphibians
Stereocyclops incrassatus,Amphibians
Stereocyclops parkeri,Amphibians
Strabomantis anatipes,Amphibians
Strabomantis anomalus,Amphibians
Strabomantis aramunha,Amphibians
Strabomantis biporcatus,Amphibians
Strabomantis bufoniformis,Amphibians
Strabomantis cadenai,Amphibians
Strabomantis cerastes,Amphibians
Strabomantis cheiroplethus,Amphibians
Strabomantis cornutus,Amphibians
Strabomantis helonotus,Amphibians
Strabomantis ingeri,Amphibians
Strabomantis laticorpus,Amphibians
Strabomantis necerus,Amphibians
Strabomantis necopinus,Amphibians
Strabomantis ruizi,Amphibians
Strabomantis sulcatus,Amphibians
Strabomantis zygodactylus,Amphibians
Strongylopus bonaespei,Amphibians
Strongylopus fasciatus,Amphibians
Strongylopus fuelleborni,Amphibians
Strongylopus grayii,Amphibians
Strongylopus hymenopus,Amphibians
Strongylopus kilimanjaro,Amphibians
Strongylopus kitumbeine,Amphibians
Strongylopus merumontanus,Amphibians
Strongylopus rhodesianus,Amphibians
Strongylopus springbokensis,Amphibians
Strongylopus wageri,Amphibians
Stumpffia gimmeli,Amphibians
Stumpffia grandis,Amphibians
Stumpffia helenae,Amphibians
Stumpffia psologlossa,Amphibians
Stumpffia pygmaea,Amphibians
Stumpffia roseifemoralis,Amphibians
Stumpffia tetradactyla,Amphibians
Stumpffia tridactyla,Amphibians
Sylvacaecilia grandisonae,Amphibians
Synapturanus mirandaribeiroi,Amphibians
Synapturanus rabus,Amphibians
Synapturanus salseri,Amphibians
Syncope antenori,Amphibians
Syncope carvalhoi,Amphibians
Syncope tridactyla,Amphibians
Tachycnemis seychellensis,Amphibians
Taricha granulosa,Amphibians
Taricha rivularis,Amphibians
Taricha sierra,Amphibians
Taricha torosa,Amphibians
Taudactylus acutirostris,Amphibians
Taudactylus diurnus,Amphibians
Taudactylus eungellensis,Amphibians
Taudactylus liemi,Amphibians
Taudactylus pleione,Amphibians
Taudactylus rheophilus,Amphibians
Telmatobius arequipensis,Amphibians
Telmatobius atacamensis,Amphibians
Telmatobius atahualpai,Amphibians
Telmatobius bolivianus,Amphibians
Telmatobius brachydactylus,Amphibians
Telmatobius brevipes,Amphibians
Telmatobius brevirostris,Amphibians
Telmatobius carrillae,Amphibians
Telmatobius ceiorum,Amphibians
Telmatobius chusmisensis,Amphibians
Telmatobius cirrhacelis,Amphibians
Telmatobius colanensis,Amphibians
Telmatobius contrerasi,Amphibians
Telmatobius culeus,Amphibians
Telmatobius dankoi,Amphibians
Telmatobius degener,Amphibians
Telmatobius edaphonastes,Amphibians
Telmatobius espadai,Amphibians
Telmatobius fronteriensis,Amphibians
Telmatobius gigas,Amphibians
Telmatobius halli,Amphibians
Telmatobius hauthali,Amphibians
Telmatobius hintoni,Amphibians
Telmatobius hockingi,Amphibians
Telmatobius huayra,Amphibians
Telmatobius hypselocephalus,Amphibians
Telmatobius ignavus,Amphibians
Telmatobius intermedius,Amphibians
Telmatobius jelskii,Amphibians
Telmatobius laticeps,Amphibians
Telmatobius latirostris,Amphibians
Telmatobius macrostomus,Amphibians
Telmatobius marmoratus,Amphibians
Telmatobius mayoloi,Amphibians
Telmatobius necopinus,Amphibians
Telmatobius niger,Amphibians
Telmatobius oxycephalus,Amphibians
Telmatobius pefauri,Amphibians
Telmatobius peruvianus,Amphibians
Telmatobius philippii,Amphibians
Telmatobius pinguiculus,Amphibians
Telmatobius pisanoi,Amphibians
Telmatobius platycephalus,Amphibians
Telmatobius punctatus,Amphibians
Telmatobius rimac,Amphibians
Telmatobius sanborni,Amphibians
Telmatobius schreiteri,Amphibians
Telmatobius scrocchii,Amphibians
Telmatobius sibiricus,Amphibians
Telmatobius simonsi,Amphibians
Telmatobius stephani,Amphibians
Telmatobius thompsoni,Amphibians
Telmatobius timens,Amphibians
Telmatobius truebae,Amphibians
Telmatobius vellardi,Amphibians
Telmatobius verrucosus,Amphibians
Telmatobius vilamensis,Amphibians
Telmatobius yuracare,Amphibians
Telmatobius zapahuirensis,Amphibians
Telmatobufo australis,Amphibians
Telmatobufo bullocki,Amphibians
Telmatobufo venustus,Amphibians
Tepuihyla aecii,Amphibians
Tepuihyla celsae,Amphibians
Tepuihyla edelcae,Amphibians
Tepuihyla galani,Amphibians
Tepuihyla luteolabris,Amphibians
Tepuihyla rimarum,Amphibians
Tepuihyla rodriguezi,Amphibians
Tepuihyla talbergae,Amphibians
Teratohyla amelie,Amphibians
Teratohyla midas,Amphibians
Teratohyla pulverata,Amphibians
Teratohyla spinosa,Amphibians
Theloderma albopunctata,Amphibians
Theloderma andersoni,Amphibians
Theloderma asperum,Amphibians
Theloderma bicolor,Amphibians
Theloderma corticale,Amphibians
Theloderma gordoni,Amphibians
Theloderma horridum,Amphibians
Theloderma kwangsiense,Amphibians
Theloderma leporosum,Amphibians
Theloderma licin,Amphibians
Theloderma moloch,Amphibians
Theloderma nagalandense,Amphibians
Theloderma phrynoderma,Amphibians
Theloderma rhododiscus,Amphibians
Theloderma ryabovi,Amphibians
Theloderma stellatum,Amphibians
Thorius arboreus,Amphibians
Thorius aureus,Amphibians
Thorius boreas,Amphibians
Thorius dubitus,Amphibians
Thorius grandis,Amphibians
Thorius infernalis,Amphibians
Thorius insperatus,Amphibians
Thorius lunaris,Amphibians
Thorius macdougalli,Amphibians
Thorius magnipes,Amphibians
Thorius minutissimus,Amphibians
Thorius minydemus,Amphibians
Thorius munificus,Amphibians
Thorius narismagnus,Amphibians
Thorius narisovalis,Amphibians
Thorius omiltemi,Amphibians
Thorius papaloae,Amphibians
Thorius pennatulus,Amphibians
Thorius pulmonaris,Amphibians
Thorius schmidti,Amphibians
Thorius smithi,Amphibians
Thorius spilogaster,Amphibians
Thorius troglodytes,Amphibians
Thoropa lutzi,Amphibians
Thoropa megatympanum,Amphibians
Thoropa miliaris,Amphibians
Thoropa petropolitana,Amphibians
Thoropa saxatilis,Amphibians
Tlalocohyla godmani,Amphibians
Tlalocohyla loquax,Amphibians
Tlalocohyla picta,Amphibians
Tlalocohyla smithii,Amphibians
Tomopterna cryptotis,Amphibians
Tomopterna damarensis,Amphibians
Tomopterna delalandii,Amphibians
Tomopterna krugerensis,Amphibians
Tomopterna luganga,Amphibians
Tomopterna marmorata,Amphibians
Tomopterna milletihorsini,Amphibians
Tomopterna natalensis,Amphibians
Tomopterna tandyi,Amphibians
Tomopterna tuberculosa,Amphibians
Trachycephalus atlas,Amphibians
Trachycephalus coriaceus,Amphibians
Trachycephalus dibernardoi,Amphibians
Trachycephalus hadroceps,Amphibians
Trachycephalus imitatrix,Amphibians
Trachycephalus jordani,Amphibians
Trachycephalus lepidus,Amphibians
Trachycephalus mesophaeus,Amphibians
Trachycephalus nigromaculatus,Amphibians
Trachycephalus resinifictrix,Amphibians
Trachycephalus venulosus,Amphibians
Trichobatrachus robustus,Amphibians
Triprion petasatus,Amphibians
Triturus carnifex,Amphibians
Triturus cristatus,Amphibians
Triturus dobrogicus,Amphibians
Triturus karelinii,Amphibians
Triturus marmoratus,Amphibians
Triturus pygmaeus,Amphibians
Truebella skoptes,Amphibians
Truebella tothastes,Amphibians
Tsingymantis antitra,Amphibians
Tylototriton asperrimus,Amphibians
Tylototriton hainanensis,Amphibians
Tylototriton kweichowensis,Amphibians
Tylototriton shanjing,Amphibians
Tylototriton taliangensis,Amphibians
Tylototriton verrucosus,Amphibians
Tylototriton vietnamensis,Amphibians
Tylototriton wenxianensis,Amphibians
Typhlonectes compressicauda,Amphibians
Typhlonectes cunhai,Amphibians
Typhlonectes natans,Amphibians
Uperodon globulosus,Amphibians
Uperodon systoma,Amphibians
Uperoleia altissima,Amphibians
Uperoleia arenicola,Amphibians
Uperoleia aspera,Amphibians
Uperoleia borealis,Amphibians
Uperoleia capitulata,Amphibians
Uperoleia crassa,Amphibians
Uperoleia daviesae,Amphibians
Uperoleia fusca,Amphibians
Uperoleia glandulosa,Amphibians
Uperoleia inundata,Amphibians
Uperoleia laevigata,Amphibians
Uperoleia lithomoda,Amphibians
Uperoleia littlejohni,Amphibians
Uperoleia marmorata,Amphibians
Uperoleia martini,Amphibians
Uperoleia micromeles,Amphibians
Uperoleia mimula,Amphibians
Uperoleia minima,Amphibians
Uperoleia mjobergii,Amphibians
Uperoleia orientalis,Amphibians
Uperoleia rugosa,Amphibians
Uperoleia russelli,Amphibians
Uperoleia talpa,Amphibians
Uperoleia trachyderma,Amphibians
Uperoleia tyleri,Amphibians
Uraeotyphlus gansi,Amphibians
Uraeotyphlus interruptus,Amphibians
Uraeotyphlus malabaricus,Amphibians
Uraeotyphlus menoni,Amphibians
Uraeotyphlus narayani,Amphibians
Uraeotyphlus oommeni,Amphibians
Uraeotyphlus oxyurus,Amphibians
Urspelerpes brucei,Amphibians
Vandijkophrynus amatolicus,Amphibians
Vandijkophrynus angusticeps,Amphibians
Vandijkophrynus gariepensis,Amphibians
Vandijkophrynus inyangae,Amphibians
Vandijkophrynus robinsoni,Amphibians
Vitreorana antisthenesi,Amphibians
Vitreorana castroviejoi,Amphibians
Vitreorana eurygnatha,Amphibians
Vitreorana gorzulae,Amphibians
Vitreorana helenae,Amphibians
Vitreorana oyampiensis,Amphibians
Vitreorana parvulum,Amphibians
Vitreorana uranoscopa,Amphibians
Wakea madinika,Amphibians
Werneria bambutensis,Amphibians
Werneria iboundji,Amphibians
Werneria mertensiana,Amphibians
Werneria preussi,Amphibians
Werneria submontana,Amphibians
Werneria tandyi,Amphibians
Wolterstorffina chirioi,Amphibians
Wolterstorffina mirei,Amphibians
Wolterstorffina parvipalmata,Amphibians
Xanthophryne koynayensis,Amphibians
Xanthophryne tigerina,Amphibians
Xenohyla eugenioi,Amphibians
Xenohyla truncata,Amphibians
Xenophrys aceras,Amphibians
Xenophrys auralensis,Amphibians
Xenophrys baluensis,Amphibians
Xenophrys binchuanensis,Amphibians
Xenophrys boettgeri,Amphibians
Xenophrys brachykolos,Amphibians
Xenophrys caudoprocta,Amphibians
Xenophrys daweimontis,Amphibians
Xenophrys dringi,Amphibians
Xenophrys giganticus,Amphibians
Xenophrys glandulosa,Amphibians
Xenophrys huangshanensis,Amphibians
Xenophrys jingdongensis,Amphibians
Xenophrys kuatunensis,Amphibians
Xenophrys lekaguli,Amphibians
Xenophrys longipes,Amphibians
Xenophrys major,Amphibians
Xenophrys mangshanensis,Amphibians
Xenophrys medogensis,Amphibians
Xenophrys minor,Amphibians
Xenophrys nankiangensis,Amphibians
Xenophrys omeimontis,Amphibians
Xenophrys pachyproctus,Amphibians
Xenophrys palpebralespinosa,Amphibians
Xenophrys parallela,Amphibians
Xenophrys parva,Amphibians
Xenophrys robusta,Amphibians
Xenophrys serchhipii,Amphibians
Xenophrys shapingensis,Amphibians
Xenophrys shuichengensis,Amphibians
Xenophrys spinata,Amphibians
Xenophrys wawuensis,Amphibians
Xenophrys wuliangshanensis,Amphibians
Xenophrys wushanensis,Amphibians
Xenophrys zhangi,Amphibians
Xenophrys zunhebotoensis,Amphibians
Xenopus amieti,Amphibians
Xenopus andrei,Amphibians
Xenopus borealis,Amphibians
Xenopus boumbaensis,Amphibians
Xenopus clivii,Amphibians
Xenopus epitropicalis,Amphibians
Xenopus fraseri,Amphibians
Xenopus gilli,Amphibians
Xenopus itombwensis,Amphibians
Xenopus laevis,Amphibians
Xenopus largeni,Amphibians
Xenopus longipes,Amphibians
Xenopus muelleri,Amphibians
Xenopus petersii,Amphibians
Xenopus pygmaeus,Amphibians
Xenopus ruwenzoriensis,Amphibians
Xenopus tropicalis,Amphibians
Xenopus vestitus,Amphibians
Xenopus victorianus,Amphibians
Xenopus wittei,Amphibians
Xenorhina adisca,Amphibians
Xenorhina anorbis,Amphibians
Xenorhina arboricola,Amphibians
Xenorhina arfakiana,Amphibians
Xenorhina bidens,Amphibians
Xenorhina bouwensi,Amphibians
Xenorhina eiponis,Amphibians
Xenorhina fuscigula,Amphibians
Xenorhina gigantea,Amphibians
Xenorhina huon,Amphibians
Xenorhina lanthanites,Amphibians
Xenorhina macrodisca,Amphibians
Xenorhina macrops,Amphibians
Xenorhina mehelyi,Amphibians
Xenorhina minima,Amphibians
Xenorhina multisica,Amphibians
Xenorhina obesa,Amphibians
Xenorhina ocellata,Amphibians
Xenorhina ophiodon,Amphibians
Xenorhina oxycephala,Amphibians
Xenorhina parkerorum,Amphibians
Xenorhina rostrata,Amphibians
Xenorhina scheepstrai,Amphibians
Xenorhina schiefenhoeveli,Amphibians
Xenorhina similis,Amphibians
Xenorhina subcrocea,Amphibians
Xenorhina tumulus,Amphibians
Xenorhina varia,Amphibians
Xenorhina zweifeli,Amphibians
Yunganastes ashkapara,Amphibians
Yunganastes bisignatus,Amphibians
Yunganastes fraudator,Amphibians
Yunganastes mercedesae,Amphibians
Yunganastes pluvicanorus,Amphibians
Zachaenus carvalhoi,Amphibians
Zachaenus parvulus,Amphibians
Zakerana brevipalmata,Amphibians
Zakerana greenii,Amphibians
Zakerana keralensis,Amphibians
Zakerana kirtisinghei,Amphibians
Zakerana murthii,Amphibians
Zakerana mysorensis,Amphibians
Zakerana nepalensis,Amphibians
Zakerana nilagirica,Amphibians
Zakerana parambikulamana,Amphibians
Zakerana pierrei,Amphibians
Zakerana rufescens,Amphibians
Zakerana sauriceps,Amphibians
Zakerana syhadrensis,Amphibians
Zakerana teraiensis,Amphibians
Abeillia abeillei,Birds
Abroscopus albogularis,Birds
Abroscopus schisticeps,Birds
Abroscopus superciliaris,Birds
Aburria aburri,Birds
Acanthagenys rufogularis,Birds
Acanthidops bairdi,Birds
Acanthisitta chloris,Birds
Acanthiza apicalis,Birds
Acanthiza chrysorrhoa,Birds
Acanthiza ewingii,Birds
Acanthiza inornata,Birds
Acanthiza iredalei,Birds
Acanthiza katherina,Birds
Acanthiza lineata,Birds
Acanthiza murina,Birds
Acanthiza nana,Birds
Acanthiza pusilla,Birds
Acanthiza reguloides,Birds
Acanthiza robustirostris,Birds
Acanthiza uropygialis,Birds
Acanthorhynchus superciliosus,Birds
Acanthorhynchus tenuirostris,Birds
Acanthornis magna,Birds
Accipiter albogularis,Birds
Accipiter badius,Birds
Accipiter bicolor,Birds
Accipiter brachyurus,Birds
Accipiter brevipes,Birds
Accipiter butleri,Birds
Accipiter castanilius,Birds
Accipiter cirrocephalus,Birds
Accipiter collaris,Birds
Accipiter cooperii,Birds
Accipiter erythrauchen,Birds
Accipiter erythropus,Birds
Accipiter fasciatus,Birds
Accipiter francesiae,Birds
Accipiter gentilis,Birds
Accipiter griseiceps,Birds
Accipiter gularis,Birds
Accipiter gundlachi,Birds
Accipiter haplochrous,Birds
Accipiter henicogrammus,Birds
Accipiter henstii,Birds
Accipiter hiogaster,Birds
Accipiter imitator,Birds
Accipiter luteoschistaceus,Birds
Accipiter madagascariensis,Birds
Accipiter melanochlamys,Birds
Accipiter melanoleucus,Birds
Accipiter meyerianus,Birds
Accipiter minullus,Birds
Accipiter nanus,Birds
Accipiter nisus,Birds
Accipiter novaehollandiae,Birds
Accipiter ovampensis,Birds
Accipiter poliocephalus,Birds
Accipiter poliogaster,Birds
Accipiter princeps,Birds
Accipiter rhodogaster,Birds
Accipiter rufitorques,Birds
Accipiter rufiventris,Birds
Accipiter soloensis,Birds
Accipiter striatus,Birds
Accipiter superciliosus,Birds
Accipiter sylvestris,Birds
Accipiter tachiro,Birds
Accipiter toussenelii,Birds
Accipiter trinotatus,Birds
Accipiter trivirgatus,Birds
Accipiter virgatus,Birds
Aceros nipalensis,Birds
Achaetops pycnopygius,Birds
Acridotheres albocinctus,Birds
Acridotheres cinereus,Birds
Acridotheres cristatellus,Birds
Acridotheres fuscus,Birds
Acridotheres ginginianus,Birds
Acridotheres grandis,Birds
Acridotheres tristis,Birds
Acrobatornis fonsecai,Birds
Acrocephalus aedon,Birds
Acrocephalus aequinoctialis,Birds
Acrocephalus agricola,Birds
Acrocephalus arundinaceus,Birds
Acrocephalus atyphus,Birds
Acrocephalus australis,Birds
Acrocephalus bistrigiceps,Birds
Acrocephalus brevipennis,Birds
Acrocephalus caffer,Birds
Acrocephalus concinens,Birds
Acrocephalus dumetorum,Birds
Acrocephalus familiaris,Birds
Acrocephalus gracilirostris,Birds
Acrocephalus griseldis,Birds
Acrocephalus kerearako,Birds
Acrocephalus luscinius,Birds
Acrocephalus melanopogon,Birds
Acrocephalus mendanae,Birds
Acrocephalus newtoni,Birds
Acrocephalus orinus,Birds
Acrocephalus paludicola,Birds
Acrocephalus palustris,Birds
Acrocephalus rehsei,Birds
Acrocephalus rimatarae,Birds
Acrocephalus rodericanus,Birds
Acrocephalus rufescens,Birds
Acrocephalus schoenobaenus,Birds
Acrocephalus scirpaceus,Birds
Acrocephalus sechellensis,Birds
Acrocephalus sorghophilus,Birds
Acrocephalus stentoreus,Birds
Acrocephalus syrinx,Birds
Acrocephalus taiti,Birds
Acrocephalus tangorum,Birds
Acrocephalus vaughani,Birds
Acropternis orthonyx,Birds
Acryllium vulturinum,Birds
Actenoides bougainvillei,Birds
Actenoides capucinus,Birds
Actenoides concretus,Birds
Actenoides excelsus,Birds
Actenoides hombroni,Birds
Actenoides lindsayi,Birds
Actenoides monachus,Birds
Actenoides princeps,Birds
Actenoides regalis,Birds
